address,tagged,lat,lng,full
"Blk 172, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 510, ANG MO KIO AVE 8, Singapore",False,,,
"Blk 610, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 474, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 604, ANG MO KIO AVE 5, Singapore",False,,,
"Blk 154, ANG MO KIO AVE 5, Singapore",False,,,
"Blk 110, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 445, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 476, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 631, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 155, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 560, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 561, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 405, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 548, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 126, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 558, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 212, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 333, ANG MO KIO AVE 1, Singapore",False,,,
"Blk 114, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 151, ANG MO KIO AVE 5, Singapore",False,,,
"Blk 503, ANG MO KIO AVE 5, Singapore",False,,,
"Blk 230, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 157, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 213, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 419, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 549, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 201, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 533, ANG MO KIO AVE 5, Singapore",False,,,
"Blk 571, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 623, ANG MO KIO AVE 9, Singapore",False,,,
"Blk 465, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 119, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 121, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 418, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 607, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 216, ANG MO KIO AVE 1, Singapore",False,,,
"Blk 103, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 570, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 127, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 159, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 173, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 585, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 120, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 421, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 178, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 417, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 509, ANG MO KIO AVE 8, Singapore",False,,,
"Blk 128, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 328, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 463, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 575, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 587, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 218, ANG MO KIO AVE 1, Singapore",False,,,
"Blk 320, ANG MO KIO AVE 1, Singapore",False,,,
"Blk 348, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 601, ANG MO KIO AVE 5, Singapore",False,,,
"Blk 313, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 523, ANG MO KIO AVE 5, Singapore",False,,,
"Blk 108, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 466, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 105, ANG MO KIO AVE 4, Singapore",False,,,
"Blk 438, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 543, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 416, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 442, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 573, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 542, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 544, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 335, ANG MO KIO AVE 1, Singapore",False,,,
"Blk 475, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 572, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 208, ANG MO KIO AVE 1, Singapore",False,,,
"Blk 231, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 435, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 467, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 634, ANG MO KIO AVE 6, Singapore",False,,,
"Blk 504, ANG MO KIO AVE 8, Singapore",False,,,
"Blk 414, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 434, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 346, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 638, ANG MO KIO AVE 6, Singapore",False,,,
"Blk 101, ANG MO KIO AVE 3, Singapore",False,,,
"Blk 354, ANG MO KIO ST 32, Singapore",False,,,
"Blk 648, ANG MO KIO AVE 5, Singapore",False,,,
"Blk 351, ANG MO KIO ST 32, Singapore",False,,,
"Blk 716, ANG MO KIO AVE 6, Singapore",False,,,
"Blk 700A, ANG MO KIO AVE 6, Singapore",False,,,
"Blk 596D, ANG MO KIO ST 52, Singapore",False,,,
"Blk 460, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 700B, ANG MO KIO AVE 6, Singapore",False,,,
"Blk 437, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 253, ANG MO KIO ST 21, Singapore",False,,,
"Blk 596C, ANG MO KIO ST 52, Singapore",False,,,
"Blk 316A, ANG MO KIO ST 31, Singapore",False,,,
"Blk 439, ANG MO KIO AVE 10, Singapore",False,,,
"Blk 350, ANG MO KIO ST 32, Singapore",False,,,
"Blk 353, ANG MO KIO ST 32, Singapore",False,,,
"Blk 700C, ANG MO KIO AVE 6, Singapore",False,,,
"Blk 620, BEDOK RESERVOIR RD, Singapore",False,,,
"Blk 618, BEDOK RESERVOIR RD, Singapore",False,,,
"Blk 504, BEDOK NTH ST 3, Singapore",False,,,
"Blk 503, BEDOK NTH ST 3, Singapore",False,,,
"Blk 525, BEDOK NTH ST 3, Singapore",False,,,
"Blk 709, BEDOK RESERVOIR RD, Singapore",False,,,
"Blk 74, BEDOK NTH RD, Singapore",False,,,
"Blk 20, CHAI CHEE RD, Singapore",False,,,
"Blk 528, BEDOK NTH ST 3, Singapore",False,,,
"Blk 3, BEDOK STH AVE 1, Singapore",False,,,
"Blk 109, BEDOK NTH RD, Singapore",False,,,
"Blk 632, BEDOK RESERVOIR RD, Singapore",False,,,
"Blk 21, CHAI CHEE RD, Singapore",False,,,
"Blk 89, BEDOK NTH ST 4, Singapore",False,,,
"Blk 534, BEDOK NTH ST 3, Singapore",False,,,
"Blk 614, BEDOK RESERVOIR RD, Singapore",False,,,
"Blk 609, BEDOK RESERVOIR RD, Singapore",False,,,
"Blk 136, BEDOK RESERVOIR RD, Singapore",False,,,
"Blk 76, BEDOK NTH RD, Singapore",False,,,
"Blk 529, BEDOK NTH ST 3, Singapore",False,,,
"Blk 126, BEDOK NTH ST 2, Singapore",False,,,
"Blk 18, BEDOK STH RD, Singapore",False,,,
"Blk 57, CHAI CHEE DR, Singapore",False,,,
"Blk 37, CHAI CHEE AVE, Singapore",False,,,
"Blk 110, BEDOK NTH RD, Singapore",False,,,
"Blk 4, BEDOK STH AVE 1, Singapore",False,,,
"Blk 424, BEDOK NTH AVE 1, Singapore",False,,,
"Blk 158, BEDOK STH AVE 3, Singapore",False,,,
"Blk 616, BEDOK RESERVOIR RD, Singapore",False,,,
"Blk 55, CHAI CHEE DR, Singapore",False,,,
"Blk 536, BEDOK NTH ST 3, Singapore",False,,,
"Blk 57, NEW UPP CHANGI RD, Singapore",False,,,
"Blk 104, BEDOK NTH AVE 4, Singapore",False,,,
"Blk 92, BEDOK NTH AVE 4, Singapore",False,,,
"Blk 701, BEDOK RESERVOIR RD, Singapore",False,,,
"Blk 103, BEDOK RESERVOIR RD, Singapore",False,,,
"Blk 218, BEDOK NTH ST 1, Singapore",False,,,
"Blk 402, BEDOK NTH AVE 3, Singapore",False,,,
"Blk 102, BEDOK NTH AVE 4, Singapore",False,,,
"Blk 116, BEDOK NTH RD, Singapore",False,,,
"Blk 425, BEDOK NTH RD, Singapore",False,,,
"Blk 208, NEW UPP CHANGI RD, Singapore",False,,,
"Blk 554, BEDOK NTH ST 3, Singapore",False,,,
"Blk 419, BEDOK NTH ST 1, Singapore",False,,,
"Blk 412, BEDOK NTH AVE 2, Singapore",False,,,
